Category,Title,Description,Estimated Effort,Priority,Priority Justification,File(s)/Location
Feature Request,District/multi-school billing,"Subscription management for multi-school/district customers",1-2 weeks,Low,Only matters once there are paying customers to expand within,later-stage; no code yet
Feature Request,Offline support / local caching,"Local caching for spotty connectivity at school pickup zones",3-5 days,Low,Nice-to-have; not blocking for a pilot with one school,app-wide
Refactor/Tech Debt,No state management solution,"Everything uses setState plus a bare global router instance",2-3 days to introduce,High,Will get painful fast once real async Firestore data flows in; better to switch now (Riverpod recommended) than mid-Phase-1,app-wide
Refactor/Tech Debt,No repository/service layer,"No abstraction layer between UI widgets and Firestore",1-2 days,High,Without this every widget ends up with raw Firestore calls scattered through build() methods,"new: lib/data/ or per-feature data/ layer"
Refactor/Tech Debt,No automated tests,"Zero unit, widget, or integration tests exist",ongoing,Medium,Fine for a solo-dev demo; risky once auth/payments/school data are real,new: test/
Refactor/Tech Debt,No Firestore security rules,"Nothing enforces school-scoping or role permissions at the database level",1-2 days,Medium,Must land before real user data touches the database, not after,new: firestore.rules
Refactor/Tech Debt,No dev/staging/prod Firebase separation,"Single Firebase project used for all environments",1 day,Medium,Needed before onboarding a real pilot school so test data doesn't mix with theirs,firebase config
Refactor/Tech Debt,Global router.go() instead of context.go(),"Uses a global router instance instead of the BuildContext-scoped call",30 min,Low,Minor consistency issue,lib/core/mainscreen.dart
Refactor/Tech Debt,Duplicated color constants,"darkGreen/lightGreen redefined independently in nearly every file instead of a shared theme",1-2 hrs,Low,Cosmetic consistency; easy cleanup whenever a file is already being touched,most files under lib/features/
Documentation,README is still boilerplate,"README has no setup, architecture, or Firebase config instructions - still default Flutter template",1-2 hrs,Medium,Matters once anyone else (or future you) needs to onboard,README.md
Documentation,No Firestore schema documentation,"No documentation of the data model / Firestore schema",ongoing - write as models land,Medium,Should be written alongside the data models item above, not after,new doc
Documentation,No architecture overview,"No note explaining the feature-first folder convention",1 hr,Low,Helpful but not urgent,new doc
